TIPO_VIA;NOMBRE_VIA;NUMERO;RESTO;texto;entidades
CALLE;DEL MINISTRO IBAÑEZ MARTIN;n35;9ºIZDA;CALLE DEL MINISTRO IBAÑEZ MARTIN n35 9ºIZDA;('CALLE DEL MINISTRO IBAÑEZ MARTIN n35 9ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 32, 'NOMBRE_VIA'), (33, 36, 'NUMERO'), (37, 43, 'RESTO')]})
PLAZA;DE LAS CALIFORNIAS;nº37;1 B;PLAZA DE LAS CALIFORNIAS nº37 1 B;('PLAZA DE LAS CALIFORNIAS nº37 1 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 33, 'RESTO')]})
CALLE;DE ALFARO;nº12;10*IZDA;CALLE DE ALFARO nº12 10*IZDA;('CALLE DE ALFARO nº12 10*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 28, 'RESTO')]})
CALLE;DE LA CRUZ DEL SUR;nr26;1 DCHA;CALLE DE LA CRUZ DEL SUR nr26 1 DCHA;('CALLE DE LA CRUZ DEL SUR nr26 1 DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE PEREZ DE VICTORIA;n30;5 C;CALLE DE PEREZ DE VICTORIA n30 5 C;('CALLE DE PEREZ DE VICTORIA n30 5 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 30, 'NUMERO'), (31, 34, 'RESTO')]})
CALLE;DEL COCHERON DE LA VILLA;nº41;1*B;CALLE DEL COCHERON DE LA VILLA nº41 1*B;('CALLE DEL COCHERON DE LA VILLA nº41 1*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 35, 'NUMERO'), (36, 39, 'RESTO')]})
TRAVESÍA;DE GANIMEDES;n10,;6-DCHA;TRAVESÍA DE GANIMEDES n10, 6-DCHA;('TRAVESÍA DE GANIMEDES n10, 6-DCHA', {'entities': [(0, 8, 'TIPO_VIA'), (9, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
TRAVESÍA;DE MONOVAR;n26;10C;TRAVESÍA DE MONOVAR n26 10C;('TRAVESÍA DE MONOVAR n26 10C', {'entities': [(0, 8, 'TIPO_VIA'), (9, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLEJÓN;DE JUAN DE MATA GOMEZ;n45;6*DCHA;CALLEJÓN DE JUAN DE MATA GOMEZ n45 6*DCHA;('CALLEJÓN DE JUAN DE MATA GOMEZ n45 6*DCHA', {'entities': [(0, 8, 'TIPO_VIA'), (9, 30, 'NOMBRE_VIA'), (31, 34, 'NUMERO'), (35, 41, 'RESTO')]})
CALLE;DEL GENERAL GALLEGOS;nr47,;8 C;CALLE DEL GENERAL GALLEGOS nr47, 8 C;('CALLE DEL GENERAL GALLEGOS nr47, 8 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 32, 'NUMERO'), (33, 36, 'RESTO')]})
CALLE;DEL CALAMON;nr44,;2D;CALLE DEL CALAMON nr44, 2D;('CALLE DEL CALAMON nr44, 2D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 23, 'NUMERO'), (24, 26, 'RESTO')]})
PASEO;DEL PIÑONERO;n*38;9DCHA;PASEO DEL PIÑONERO n*38 9DCHA;('PASEO DEL PIÑONERO n*38 9DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 29, 'RESTO')]})
CALLE;DE JOAQUIN ARJONA;20;7-DCHA;CALLE DE JOAQUIN ARJONA 20 7-DCHA;('CALLE DE JOAQUIN ARJONA 20 7-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DE SANTIAGO DE MASARNAU;31;7-C;CALLE DE SANTIAGO DE MASARNAU 31 7-C;('CALLE DE SANTIAGO DE MASARNAU 31 7-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 32, 'NUMERO'), (33, 36, 'RESTO')]})
CALLE;DEL ESTIGIA;n32;2*D;CALLE DEL ESTIGIA n32 2*D;('CALLE DEL ESTIGIA n32 2*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DE LOS ESTUDIOS;nº19;2 CTRO;CALLE DE LOS ESTUDIOS nº19 2 CTRO;('CALLE DE LOS ESTUDIOS nº19 2 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DE TOLU;n32,;7-C;CALLE DE TOLU n32, 7-C;('CALLE DE TOLU n32, 7-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 13, 'NOMBRE_VIA'), (14, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DE NEGURI;11;1A;CALLE DE NEGURI 11 1A;('CALLE DE NEGURI 11 1A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 21, 'RESTO')]})
PLAZA;DE LAS COMENDADORAS;n*31,;3*D;PLAZA DE LAS COMENDADORAS n*31, 3*D;('PLAZA DE LAS COMENDADORAS n*31, 3*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DE FUENSAVIÑAN;n*12;8*CTRO;CALLE DE FUENSAVIÑAN n*12 8*CTRO;('CALLE DE FUENSAVIÑAN n*12 8*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CARRETERA;DE LA VENTA DE LA RUBIA;n*22;5 CTRO;CARRETERA DE LA VENTA DE LA RUBIA n*22 5 CTRO;('CARRETERA DE LA VENTA DE LA RUBIA n*22 5 CTRO', {'entities': [(0, 9, 'TIPO_VIA'), (10, 33, 'NOMBRE_VIA'), (34, 38, 'NUMERO'), (39, 45, 'RESTO')]})
CALLE;DE LOS DOS AMIGOS;n*39;1 A;CALLE DE LOS DOS AMIGOS n*39 1 A;('CALLE DE LOS DOS AMIGOS n*39 1 A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 28, 'NUMERO'), (29, 32, 'RESTO')]})
CALLE;DE TELLEZ;n6;6 B;CALLE DE TELLEZ n6 6 B;('CALLE DE TELLEZ n6 6 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DE NUESTRA SEÑORA DEL VILLAR;nr25;7ºDCHA;CALLE DE NUESTRA SEÑORA DEL VILLAR nr25 7ºDCHA;('CALLE DE NUESTRA SEÑORA DEL VILLAR nr25 7ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 34, 'NOMBRE_VIA'), (35, 39, 'NUMERO'), (40, 46, 'RESTO')]})
CALLE;DE PEDRO PEREZ ALONSO;nº49,;3 IZDA;CALLE DE PEDRO PEREZ ALONSO nº49, 3 IZDA;('CALLE DE PEDRO PEREZ ALONSO nº49, 3 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 33, 'NUMERO'), (34, 40, 'RESTO')]})
PLAZA;DE NUEVA ORLEANS;n*11;2D;PLAZA DE NUEVA ORLEANS n*11 2D;('PLAZA DE NUEVA ORLEANS n*11 2D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 30, 'RESTO')]})
CALLE;DE ANTONIO LOPEZ TORRES;n*6,;7ºCTRO;CALLE DE ANTONIO LOPEZ TORRES n*6, 7ºCTRO;('CALLE DE ANTONIO LOPEZ TORRES n*6, 7ºCTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 34, 'NUMERO'), (35, 41, 'RESTO')]})
CALLE;DEL CONDE;16;4-A;CALLE DEL CONDE 16 4-A;('CALLE DEL CONDE 16 4-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DEL PLAN PARCIAL;nº36,;9 D;CALLE DEL PLAN PARCIAL nº36, 9 D;('CALLE DEL PLAN PARCIAL nº36, 9 D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 28, 'NUMERO'), (29, 32, 'RESTO')]})
AVENIDA;DE LOS ANDES;nº28;6ºC;AVENIDA DE LOS ANDES nº28 6ºC;('AVENIDA DE LOS ANDES nº28 6ºC', {'entities': [(0, 7, 'TIPO_VIA'), (8, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 29, 'RESTO')]})
CALLE;DE JOAQUIN TURINA;41;1-DCHA;CALLE DE JOAQUIN TURINA 41 1-DCHA;('CALLE DE JOAQUIN TURINA 41 1-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DEL PESO HISPANO;17;7-C;CALLE DEL PESO HISPANO 17 7-C;('CALLE DEL PESO HISPANO 17 7-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 25, 'NUMERO'), (26, 29, 'RESTO')]})
CAMINO;DEL PORTILLO;n*32;9ºIZDA;CAMINO DEL PORTILLO n*32 9ºIZDA;('CAMINO DEL PORTILLO n*32 9ºIZDA', {'entities': [(0, 6, 'TIPO_VIA'), (7, 19, 'NOMBRE_VIA'), (20, 24, 'NUMERO'), (25, 31, 'RESTO')]})
CALLE;DEL PINTOR BRENES;n*48;4*DCHA;CALLE DEL PINTOR BRENES n*48 4*DCHA;('CALLE DEL PINTOR BRENES n*48 4*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 28, 'NUMERO'), (29, 35, 'RESTO')]})
CALLE;DEL PRELUDIO;30;6A;CALLE DEL PRELUDIO 30 6A;('CALLE DEL PRELUDIO 30 6A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 21, 'NUMERO'), (22, 24, 'RESTO')]})
CALLE;DE LA BATALLA DE TESALIA;16;1*D;CALLE DE LA BATALLA DE TESALIA 16 1*D;('CALLE DE LA BATALLA DE TESALIA 16 1*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 33, 'NUMERO'), (34, 37, 'RESTO')]})
CALLE;DE AGUILON;nº21,;4 B;CALLE DE AGUILON nº21, 4 B;('CALLE DE AGUILON nº21, 4 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DEL AFECTO;n44;5*CTRO;CALLE DEL AFECTO n44 5*CTRO;('CALLE DEL AFECTO n44 5*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE SALAS BARBADILLO;n*30;10*IZDA;CALLE DE SALAS BARBADILLO n*30 10*IZDA;('CALLE DE SALAS BARBADILLO n*30 10*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 30, 'NUMERO'), (31, 38, 'RESTO')]})
CALLE;DE PALAS DE REY;nr33;9ºDCHA;CALLE DE PALAS DE REY nr33 9ºDCHA;('CALLE DE PALAS DE REY nr33 9ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DEL DOCTOR JUAN BRAVO;n7,;3*A;CALLE DEL DOCTOR JUAN BRAVO n7, 3*A;('CALLE DEL DOCTOR JUAN BRAVO n7, 3*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DEL PALAU DE LA MUSICA;18,;1 CTRO;CALLE DEL PALAU DE LA MUSICA 18, 1 CTRO;('CALLE DEL PALAU DE LA MUSICA 18, 1 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 32, 'NUMERO'), (33, 39, 'RESTO')]})
CALLE;DE ALLARIZ;nº22,;3 C;CALLE DE ALLARIZ nº22, 3 C;('CALLE DE ALLARIZ nº22, 3 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DEL VALLE DE LACIANA;n24;4*B;CALLE DEL VALLE DE LACIANA n24 4*B;('CALLE DEL VALLE DE LACIANA n24 4*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 30, 'NUMERO'), (31, 34, 'RESTO')]})
CALLE;DE LA ALQUIMIA;nº19;7C;CALLE DE LA ALQUIMIA nº19 7C;('CALLE DE LA ALQUIMIA nº19 7C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 28, 'RESTO')]})
PUENTE;DE LA VIRGEN DE BEGOÑA;n*26;4-CTRO;PUENTE DE LA VIRGEN DE BEGOÑA n*26 4-CTRO;('PUENTE DE LA VIRGEN DE BEGOÑA n*26 4-CTRO', {'entities': [(0, 6, 'TIPO_VIA'), (7, 29, 'NOMBRE_VIA'), (30, 34, 'NUMERO'), (35, 41, 'RESTO')]})
TRAVESÍA;DE LA PARADA;nº21;7CTRO;TRAVESÍA DE LA PARADA nº21 7CTRO;('TRAVESÍA DE LA PARADA nº21 7CTRO', {'entities': [(0, 8, 'TIPO_VIA'), (9, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 32, 'RESTO')]})
GLORIETA;DEL CUARZO;n12;3 A;GLORIETA DEL CUARZO n12 3 A;('GLORIETA DEL CUARZO n12 3 A', {'entities': [(0, 8, 'TIPO_VIA'), (9, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE LAS LAGUNAS DE NEILA;nº20,;7-B;CALLE DE LAS LAGUNAS DE NEILA nº20, 7-B;('CALLE DE LAS LAGUNAS DE NEILA nº20, 7-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 35, 'NUMERO'), (36, 39, 'RESTO')]})
CALLE;DE EUGENIO SALAZAR;nº32;9 CTRO;CALLE DE EUGENIO SALAZAR nº32 9 CTRO;('CALLE DE EUGENIO SALAZAR nº32 9 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DEL CALENDARIO;39;1 B;CALLE DEL CALENDARIO 39 1 B;('CALLE DEL CALENDARIO 39 1 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE TRAFALGAR;nº35;5*A;CALLE DE TRAFALGAR nº35 5*A;('CALLE DE TRAFALGAR nº35 5*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE AMAYA;12;10 B;CALLE DE AMAYA 12 10 B;('CALLE DE AMAYA 12 10 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 17, 'NUMERO'), (18, 22, 'RESTO')]})
CALLE;DEL ARROYO DE LA MEDIA LEGUA;49,;6*DCHA;CALLE DEL ARROYO DE LA MEDIA LEGUA 49, 6*DCHA;('CALLE DEL ARROYO DE LA MEDIA LEGUA 49, 6*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 34, 'NOMBRE_VIA'), (35, 38, 'NUMERO'), (39, 45, 'RESTO')]})
CALLE;DE LA BELLADONA;20;9ºA;CALLE DE LA BELLADONA 20 9ºA;('CALLE DE LA BELLADONA 20 9ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 24, 'NUMERO'), (25, 28, 'RESTO')]})
CALLE;DE WALIA;n*29;4*C;CALLE DE WALIA n*29 4*C;('CALLE DE WALIA n*29 4*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 19, 'NUMERO'), (20, 23, 'RESTO')]})
CALLE;DE ELISA OCHOA;n*45;5-IZDA;CALLE DE ELISA OCHOA n*45 5-IZDA;('CALLE DE ELISA OCHOA n*45 5-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE RAFAEL BERGAMIN;nr41;10*DCHA;CALLE DE RAFAEL BERGAMIN nr41 10*DCHA;('CALLE DE RAFAEL BERGAMIN nr41 10*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 37, 'RESTO')]})
CALLE;DE JUPITER;n33;4*C;CALLE DE JUPITER n33 4*C;('CALLE DE JUPITER n33 4*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DE LA TOLERANCIA;nº46;5C;CALLE DE LA TOLERANCIA nº46 5C;('CALLE DE LA TOLERANCIA nº46 5C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 30, 'RESTO')]})
CALLE;DE BAZA;7;1*CTRO;CALLE DE BAZA 7 1*CTRO;('CALLE DE BAZA 7 1*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 13, 'NOMBRE_VIA'), (14, 15, 'NUMERO'), (16, 22, 'RESTO')]})
CALLE;DE OCAÑA;n1,;1*A;CALLE DE OCAÑA n1, 1*A;('CALLE DE OCAÑA n1, 1*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DE LA PIRAGUA;n18;4*CTRO;CALLE DE LA PIRAGUA n18 4*CTRO;('CALLE DE LA PIRAGUA n18 4*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 30, 'RESTO')]})
CALLE;DE LOS CAÑIZARES;n19;3DCHA;CALLE DE LOS CAÑIZARES n19 3DCHA;('CALLE DE LOS CAÑIZARES n19 3DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 32, 'RESTO')]})
CALLE;DEL ESTRECHO DE COREA;n*21;1*DCHA;CALLE DEL ESTRECHO DE COREA n*21 1*DCHA;('CALLE DEL ESTRECHO DE COREA n*21 1*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 39, 'RESTO')]})
CALLE;DE FERNANDO HIGUERAS;49;5ºIZDA;CALLE DE FERNANDO HIGUERAS 49 5ºIZDA;('CALLE DE FERNANDO HIGUERAS 49 5ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE SAN AURELIANO;13,;1D;CALLE DE SAN AURELIANO 13, 1D;('CALLE DE SAN AURELIANO 13, 1D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DE TUNEZ;n*17;9ºDCHA;CALLE DE TUNEZ n*17 9ºDCHA;('CALLE DE TUNEZ n*17 9ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 14, 'NOMBRE_VIA'), (15, 19, 'NUMERO'), (20, 26, 'RESTO')]})
CALLE;DE FILIPINAS;nº45;6-C;CALLE DE FILIPINAS nº45 6-C;('CALLE DE FILIPINAS nº45 6-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE SAN LUCIANO;nr11;2-IZDA;CALLE DE SAN LUCIANO nr11 2-IZDA;('CALLE DE SAN LUCIANO nr11 2-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE LA DOBLA;nº2;6-C;CALLE DE LA DOBLA nº2 6-C;('CALLE DE LA DOBLA nº2 6-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DE BURETA;nr47;1*IZDA;CALLE DE BURETA nr47 1*IZDA;('CALLE DE BURETA nr47 1*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 27, 'RESTO')]})
PLAZA;DEL JUBILADO;n23,;5DCHA;PLAZA DEL JUBILADO n23, 5DCHA;('PLAZA DEL JUBILADO n23, 5DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 29, 'RESTO')]})
CALLE;DE MORERUELA;5,;7DCHA;CALLE DE MORERUELA 5, 7DCHA;('CALLE DE MORERUELA 5, 7DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 21, 'NUMERO'), (22, 27, 'RESTO')]})
PLAZA;DEL CONDE DE CASAL;nr7;8C;PLAZA DEL CONDE DE CASAL nr7 8C;('PLAZA DEL CONDE DE CASAL nr7 8C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 28, 'NUMERO'), (29, 31, 'RESTO')]})
CALLE;DEL TENIENTE CORONEL NOREÑA;nº6;10-DCHA;CALLE DEL TENIENTE CORONEL NOREÑA nº6 10-DCHA;('CALLE DEL TENIENTE CORONEL NOREÑA nº6 10-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 33, 'NOMBRE_VIA'), (34, 37, 'NUMERO'), (38, 45, 'RESTO')]})
PLAZA;DE LAS FUENTES CLARAS;n*41,;1 DCHA;PLAZA DE LAS FUENTES CLARAS n*41, 1 DCHA;('PLAZA DE LAS FUENTES CLARAS n*41, 1 DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 33, 'NUMERO'), (34, 40, 'RESTO')]})
CALLE;DE BENICASIM;nº32;9 A;CALLE DE BENICASIM nº32 9 A;('CALLE DE BENICASIM nº32 9 A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE LANUZA;n*43;5-IZDA;CALLE DE LANUZA n*43 5-IZDA;('CALLE DE LANUZA n*43 5-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE CARBONERO Y SOL;n6;3*B;CALLE DE CARBONERO Y SOL n6 3*B;('CALLE DE CARBONERO Y SOL n6 3*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DE SAN NEVIANO;n*9;1ºIZDA;CALLE DE SAN NEVIANO n*9 1ºIZDA;('CALLE DE SAN NEVIANO n*9 1ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 24, 'NUMERO'), (25, 31, 'RESTO')]})
CALLE;DEL OBENQUE;n14;4A;CALLE DEL OBENQUE n14 4A;('CALLE DEL OBENQUE n14 4A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 24, 'RESTO')]})
CALLE;DE ALBURQUERQUE;n*40;9ºC;CALLE DE ALBURQUERQUE n*40 9ºC;('CALLE DE ALBURQUERQUE n*40 9ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DEL REAL MADRID;n18,;1D;CALLE DEL REAL MADRID n18, 1D;('CALLE DEL REAL MADRID n18, 1D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DEL DOCTOR CARRACIDO;nº24;1-C;CALLE DEL DOCTOR CARRACIDO nº24 1-C;('CALLE DEL DOCTOR CARRACIDO nº24 1-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DEL TRIUNFO;nº16;5-B;CALLE DEL TRIUNFO nº16 5-B;('CALLE DEL TRIUNFO nº16 5-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
PLAZA;DE TUY;nº38,;3*CTRO;PLAZA DE TUY nº38, 3*CTRO;('PLAZA DE TUY nº38, 3*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 12, 'NOMBRE_VIA'), (13, 18, 'NUMERO'), (19, 25, 'RESTO')]})
CALLE;DE JUAN BOSCAN;nr36;7-B;CALLE DE JUAN BOSCAN nr36 7-B;('CALLE DE JUAN BOSCAN nr36 7-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 29, 'RESTO')]})
CALLE;DEL ALTOZANO;nº38;7B;CALLE DEL ALTOZANO nº38 7B;('CALLE DEL ALTOZANO nº38 7B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 26, 'RESTO')]})
CALLE;DEL PORTICO DE LA GLORIA;nº47;5ºIZDA;CALLE DEL PORTICO DE LA GLORIA nº47 5ºIZDA;('CALLE DEL PORTICO DE LA GLORIA nº47 5ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 35, 'NUMERO'), (36, 42, 'RESTO')]})
